skill
Python
Java
C++
C
HTML
CSS
JavaScript
React
Node.js
SQL
MySQL
MongoDB
Django
Flask
FastAPI
Git
GitHub
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
PyTorch
OpenCV
NLP
Data Analysis
Pandas
NumPy
Scikit-learn
Excel
Power BI
AWS
Docker
Linux
